"result_date","affil_category","test_type","test_result","test_count","test_source"
2020-08-20,Employee,Antigen,Positive,0,Campus Health
2020-08-20,Employee,Antigen,Negative,7,Test All Test Smart
2020-08-20,Employee,Antigen,Positive,0,Test All Test Smart
2020-08-20,Off-Campus Student,Antigen,Negative,5,Campus Health
2020-08-20,Off-Campus Student,Antigen,Positive,0,Campus Health
2020-08-20,Off-Campus Student,Antigen,Negative,343,Test All Test Smart
2020-08-20,Off-Campus Student,Antigen,Positive,3,Test All Test Smart
2020-08-20,On-Campus Student,Antigen,Negative,1,Campus Health
2020-08-20,On-Campus Student,Antigen,Positive,0,Campus Health
2020-08-20,On-Campus Student,Antigen,Negative,836,Test All Test Smart
2020-08-20,On-Campus Student,Antigen,Positive,3,Test All Test Smart
2020-08-21,Employee,Antigen,Negative,1,Campus Health
2020-08-21,Employee,Antigen,Positive,0,Campus Health
2020-08-21,Employee,PCR,Negative,1,Campus Health
2020-08-21,Employee,PCR,Positive,0,Campus Health
2020-08-21,Employee,Antigen,Negative,59,Test All Test Smart
2020-08-21,Employee,Antigen,Positive,0,Test All Test Smart
2020-08-21,Off-Campus Student,Antigen,Negative,9,Campus Health
2020-08-21,Off-Campus Student,Antigen,Positive,0,Campus Health
2020-08-21,Off-Campus Student,PCR,Negative,4,Campus Health
2020-08-21,Off-Campus Student,PCR,Positive,0,Campus Health
2020-08-21,Off-Campus Student,Antigen,Negative,481,Test All Test Smart
2020-08-21,Off-Campus Student,Antigen,Positive,1,Test All Test Smart
2020-08-21,On-Campus Student,Antigen,Negative,1,Campus Health
2020-08-21,On-Campus Student,Antigen,Positive,0,Campus Health
2020-08-21,On-Campus Student,PCR,Negative,1,Campus Health
2020-08-21,On-Campus Student,PCR,Positive,0,Campus Health
2020-08-21,On-Campus Student,Antigen,Negative,907,Test All Test Smart
2020-08-21,On-Campus Student,Antigen,Positive,2,Test All Test Smart
2020-08-22,Employee,Antigen,Negative,1,Test All Test Smart
2020-08-22,Employee,Antigen,Positive,0,Test All Test Smart
2020-08-22,Off-Campus Student,Antigen,Negative,2,Campus Health
2020-08-22,Off-Campus Student,Antigen,Positive,0,Campus Health
2020-08-22,Off-Campus Student,Antigen,Negative,2,Test All Test Smart
2020-08-22,Off-Campus Student,Antigen,Positive,0,Test All Test Smart
2020-08-22,On-Campus Student,Antigen,Negative,2,Campus Health
2020-08-22,On-Campus Student,Antigen,Positive,0,Campus Health
2020-08-22,On-Campus Student,Antigen,Negative,376,Test All Test Smart
2020-08-22,On-Campus Student,Antigen,Positive,1,Test All Test Smart
2020-08-23,Employee,Antigen,Negative,7,Test All Test Smart
2020-08-23,Employee,Antigen,Positive,0,Test All Test Smart
2020-08-23,Off-Campus Student,Antigen,Negative,72,Test All Test Smart
2020-08-23,Off-Campus Student,Antigen,Positive,1,Test All Test Smart
2020-08-23,On-Campus Student,Antigen,Negative,13,Test All Test Smart
2020-08-23,On-Campus Student,Antigen,Positive,0,Test All Test Smart
2020-08-24,Employee,Antigen,Negative,2,Campus Health
2020-08-24,Employee,Antigen,Positive,0,Campus Health
2020-08-24,Employee,PCR,Negative,1,Campus Health
2020-08-24,Employee,PCR,Positive,0,Campus Health
2020-08-24,Employee,Antigen,Negative,208,Test All Test Smart
2020-08-24,Employee,Antigen,Positive,1,Test All Test Smart
2020-08-24,Employee,PCR,Negative,18,Test All Test Smart
2020-08-24,Employee,PCR,Positive,0,Test All Test Smart
2020-08-24,Off-Campus Student,Antigen,Negative,10,Campus Health
2020-08-24,Off-Campus Student,Antigen,Positive,1,Campus Health
2020-08-24,Off-Campus Student,PCR,Negative,10,Campus Health
2020-08-24,Off-Campus Student,PCR,Positive,0,Campus Health
2020-08-24,Off-Campus Student,Antigen,Negative,441,Test All Test Smart
2020-08-24,Off-Campus Student,Antigen,Positive,3,Test All Test Smart
2020-08-24,Off-Campus Student,PCR,Negative,16,Test All Test Smart
2020-08-24,Off-Campus Student,PCR,Positive,0,Test All Test Smart
2020-08-24,On-Campus Student,Antigen,Negative,2,Campus Health
2020-08-24,On-Campus Student,Antigen,Positive,0,Campus Health
2020-08-24,On-Campus Student,Antigen,Negative,21,Test All Test Smart
2020-08-24,On-Campus Student,Antigen,Positive,0,Test All Test Smart
2020-08-25,Employee,Antigen,Negative,1,Campus Health
2020-08-25,Employee,Antigen,Positive,0,Campus Health
2020-08-25,Employee,PCR,Negative,1,Campus Health
2020-08-25,Employee,PCR,Positive,0,Campus Health
2020-08-25,Employee,Antigen,Negative,99,Test All Test Smart
2020-08-25,Employee,Antigen,Positive,1,Test All Test Smart
2020-08-25,Employee,PCR,Negative,24,Test All Test Smart
2020-08-25,Employee,PCR,Positive,0,Test All Test Smart
2020-08-25,Off-Campus Student,Antigen,Negative,13,Campus Health
2020-08-25,Off-Campus Student,Antigen,Positive,5,Campus Health
2020-08-25,Off-Campus Student,PCR,Negative,2,Campus Health
2020-08-25,Off-Campus Student,PCR,Positive,0,Campus Health
2020-08-25,Off-Campus Student,Antigen,Negative,227,Test All Test Smart
2020-08-25,Off-Campus Student,Antigen,Positive,5,Test All Test Smart
2020-08-25,Off-Campus Student,PCR,Negative,21,Test All Test Smart
2020-08-25,Off-Campus Student,PCR,Positive,0,Test All Test Smart
2020-08-25,On-Campus Student,Antigen,Negative,4,Campus Health
2020-08-25,On-Campus Student,Antigen,Positive,0,Campus Health
2020-08-25,On-Campus Student,PCR,Negative,1,Campus Health
2020-08-25,On-Campus Student,PCR,Positive,0,Campus Health
2020-08-25,On-Campus Student,Antigen,Negative,10,Test All Test Smart
2020-08-25,On-Campus Student,Antigen,Positive,0,Test All Test Smart
2020-08-26,Employee,Antigen,Negative,4,Campus Health
2020-08-26,Employee,Antigen,Positive,0,Campus Health
2020-08-26,Employee,PCR,Negative,1,Campus Health
2020-08-26,Employee,PCR,Positive,0,Campus Health
2020-08-26,Employee,Antigen,Negative,136,Test All Test Smart
2020-08-26,Employee,Antigen,Positive,0,Test All Test Smart
2020-08-26,Employee,PCR,Negative,12,Test All Test Smart
2020-08-26,Employee,PCR,Positive,0,Test All Test Smart
2020-08-26,Off-Campus Student,Antigen,Negative,18,Campus Health
2020-08-26,Off-Campus Student,Antigen,Positive,4,Campus Health
2020-08-26,Off-Campus Student,PCR,Negative,3,Campus Health
2020-08-26,Off-Campus Student,PCR,Positive,0,Campus Health
2020-08-26,Off-Campus Student,Antigen,Negative,316,Test All Test Smart
2020-08-26,Off-Campus Student,Antigen,Positive,8,Test All Test Smart
2020-08-26,Off-Campus Student,PCR,Negative,2,Test All Test Smart
2020-08-26,Off-Campus Student,PCR,Positive,0,Test All Test Smart
2020-08-26,On-Campus Student,Antigen,Negative,8,Campus Health
2020-08-26,On-Campus Student,Antigen,Positive,1,Campus Health
2020-08-26,On-Campus Student,PCR,Negative,2,Campus Health
2020-08-26,On-Campus Student,PCR,Positive,0,Campus Health
2020-08-26,On-Campus Student,Antigen,Negative,308,Test All Test Smart
2020-08-26,On-Campus Student,Antigen,Positive,1,Test All Test Smart
2020-08-27,Employee,Antigen,Negative,3,Campus Health
2020-08-27,Employee,Antigen,Positive,0,Campus Health
2020-08-27,Employee,PCR,Negative,1,Campus Health
2020-08-27,Employee,PCR,Positive,0,Campus Health
2020-08-27,Employee,Antigen,Negative,82,Test All Test Smart
2020-08-27,Employee,Antigen,Positive,0,Test All Test Smart
2020-08-27,Employee,PCR,Negative,16,Test All Test Smart
2020-08-27,Employee,PCR,Positive,0,Test All Test Smart
2020-08-27,Off-Campus Student,Antigen,Negative,34,Campus Health
2020-08-27,Off-Campus Student,Antigen,Positive,10,Campus Health
2020-08-27,Off-Campus Student,PCR,Inconclusive,1,Campus Health
2020-08-27,Off-Campus Student,PCR,Negative,16,Campus Health
2020-08-27,Off-Campus Student,PCR,Positive,0,Campus Health
2020-08-27,Off-Campus Student,Antigen,Negative,209,Test All Test Smart
2020-08-27,Off-Campus Student,Antigen,Positive,8,Test All Test Smart
2020-08-27,Off-Campus Student,PCR,Negative,9,Test All Test Smart
2020-08-27,Off-Campus Student,PCR,Positive,0,Test All Test Smart
2020-08-27,On-Campus Student,Antigen,Negative,11,Campus Health
2020-08-27,On-Campus Student,Antigen,Positive,0,Campus Health
2020-08-27,On-Campus Student,PCR,Negative,2,Campus Health
2020-08-27,On-Campus Student,PCR,Positive,0,Campus Health
2020-08-27,On-Campus Student,Antigen,Negative,38,Test All Test Smart
2020-08-27,On-Campus Student,Antigen,Positive,0,Test All Test Smart
2020-08-28,Employee,Antigen,Negative,2,Campus Health
2020-08-28,Employee,Antigen,Positive,0,Campus Health
2020-08-28,Employee,Antigen,Negative,114,Test All Test Smart
2020-08-28,Employee,Antigen,Positive,0,Test All Test Smart
2020-08-28,Employee,PCR,Negative,6,Test All Test Smart
2020-08-28,Employee,PCR,Positive,0,Test All Test Smart
2020-08-28,Off-Campus Student,Antigen,Negative,57,Campus Health
2020-08-28,Off-Campus Student,Antigen,Positive,14,Campus Health
2020-08-28,Off-Campus Student,Antigen,Negative,224,Test All Test Smart
2020-08-28,Off-Campus Student,Antigen,Positive,11,Test All Test Smart
2020-08-28,On-Campus Student,Antigen,Negative,10,Campus Health
2020-08-28,On-Campus Student,Antigen,Positive,0,Campus Health
2020-08-28,On-Campus Student,Antigen,Negative,23,Test All Test Smart
2020-08-28,On-Campus Student,Antigen,Positive,0,Test All Test Smart
2020-08-28,On-Campus Student,PCR,Negative,83,Test All Test Smart
2020-08-28,On-Campus Student,PCR,Positive,0,Test All Test Smart
2020-08-29,Employee,Antigen,Negative,1,Test All Test Smart
2020-08-29,Employee,Antigen,Positive,0,Test All Test Smart
2020-08-29,Employee,PCR,Negative,22,Test All Test Smart
2020-08-29,Employee,PCR,Positive,0,Test All Test Smart
2020-08-29,Off-Campus Student,Antigen,Negative,31,Test All Test Smart
2020-08-29,Off-Campus Student,Antigen,Positive,1,Test All Test Smart
2020-08-29,Off-Campus Student,PCR,Negative,15,Test All Test Smart
2020-08-29,Off-Campus Student,PCR,Positive,0,Test All Test Smart
2020-08-29,On-Campus Student,PCR,Inconclusive,1,Test All Test Smart
2020-08-29,On-Campus Student,PCR,Negative,195,Test All Test Smart
2020-08-29,On-Campus Student,PCR,Positive,2,Test All Test Smart
2020-08-31,Employee,Antigen,Negative,4,Campus Health
2020-08-31,Employee,Antigen,Positive,0,Campus Health
2020-08-31,Employee,PCR,Negative,4,Campus Health
2020-08-31,Employee,PCR,Positive,0,Campus Health
2020-08-31,Employee,Antigen,Negative,79,Test All Test Smart
2020-08-31,Employee,Antigen,Positive,0,Test All Test Smart
2020-08-31,Off-Campus Student,Antigen,Negative,29,Campus Health
2020-08-31,Off-Campus Student,Antigen,Positive,22,Campus Health
2020-08-31,Off-Campus Student,PCR,Negative,47,Campus Health
2020-08-31,Off-Campus Student,PCR,Positive,3,Campus Health
2020-08-31,Off-Campus Student,Antigen,Negative,289,Test All Test Smart
2020-08-31,Off-Campus Student,Antigen,Positive,36,Test All Test Smart
2020-08-31,On-Campus Student,Antigen,Negative,10,Campus Health
2020-08-31,On-Campus Student,Antigen,Positive,2,Campus Health
2020-08-31,On-Campus Student,PCR,Negative,12,Campus Health
2020-08-31,On-Campus Student,PCR,Positive,1,Campus Health
2020-08-31,On-Campus Student,Antigen,Negative,44,Test All Test Smart
2020-08-31,On-Campus Student,Antigen,Positive,1,Test All Test Smart
2020-09-01,Employee,Antigen,Negative,4,Campus Health
2020-09-01,Employee,Antigen,Positive,0,Campus Health
2020-09-01,Employee,PCR,Negative,2,Campus Health
2020-09-01,Employee,PCR,Positive,0,Campus Health
2020-09-01,Employee,Antigen,Negative,95,Test All Test Smart
2020-09-01,Employee,Antigen,Positive,0,Test All Test Smart
2020-09-01,Employee,PCR,Negative,33,Test All Test Smart
2020-09-01,Employee,PCR,Positive,0,Test All Test Smart
2020-09-01,Off-Campus Student,Antigen,Negative,35,Campus Health
2020-09-01,Off-Campus Student,Antigen,Positive,19,Campus Health
2020-09-01,Off-Campus Student,PCR,Inconclusive,4,Campus Health
2020-09-01,Off-Campus Student,PCR,Negative,51,Campus Health
2020-09-01,Off-Campus Student,PCR,Positive,2,Campus Health
2020-09-01,Off-Campus Student,Antigen,Negative,416,Test All Test Smart
2020-09-01,Off-Campus Student,Antigen,Positive,39,Test All Test Smart
2020-09-01,Off-Campus Student,PCR,Negative,15,Test All Test Smart
2020-09-01,Off-Campus Student,PCR,Positive,0,Test All Test Smart
2020-09-01,On-Campus Student,Antigen,Negative,4,Campus Health
2020-09-01,On-Campus Student,Antigen,Positive,8,Campus Health
2020-09-01,On-Campus Student,PCR,Negative,12,Campus Health
2020-09-01,On-Campus Student,PCR,Positive,0,Campus Health
2020-09-01,On-Campus Student,Antigen,Negative,615,Test All Test Smart
2020-09-01,On-Campus Student,Antigen,Positive,24,Test All Test Smart
2020-09-01,On-Campus Student,PCR,Negative,12,Test All Test Smart
2020-09-01,On-Campus Student,PCR,Positive,0,Test All Test Smart
2020-09-02,Employee,PCR,Negative,3,Campus Health
2020-09-02,Employee,PCR,Positive,0,Campus Health
2020-09-02,Employee,Antigen,Negative,100,Test All Test Smart
2020-09-02,Employee,Antigen,Positive,1,Test All Test Smart
2020-09-02,Employee,PCR,Negative,1,Test All Test Smart
2020-09-02,Employee,PCR,Positive,0,Test All Test Smart
2020-09-02,Off-Campus Student,Antigen,Negative,43,Campus Health
2020-09-02,Off-Campus Student,Antigen,Positive,18,Campus Health
2020-09-02,Off-Campus Student,PCR,Inconclusive,3,Campus Health
2020-09-02,Off-Campus Student,PCR,Negative,24,Campus Health
2020-09-02,Off-Campus Student,PCR,Positive,3,Campus Health
2020-09-02,Off-Campus Student,Antigen,Negative,578,Test All Test Smart
2020-09-02,Off-Campus Student,Antigen,Positive,71,Test All Test Smart
2020-09-02,Off-Campus Student,PCR,Inconclusive,1,Test All Test Smart
2020-09-02,Off-Campus Student,PCR,Negative,1,Test All Test Smart
2020-09-02,Off-Campus Student,PCR,Positive,0,Test All Test Smart
2020-09-02,On-Campus Student,Antigen,Negative,7,Campus Health
2020-09-02,On-Campus Student,Antigen,Positive,3,Campus Health
2020-09-02,On-Campus Student,PCR,Negative,8,Campus Health
2020-09-02,On-Campus Student,PCR,Positive,0,Campus Health
2020-09-02,On-Campus Student,Antigen,Negative,645,Test All Test Smart
2020-09-02,On-Campus Student,Antigen,Positive,32,Test All Test Smart
2020-09-03,Employee,Antigen,Negative,3,Campus Health
2020-09-03,Employee,Antigen,Positive,0,Campus Health
2020-09-03,Employee,PCR,Negative,1,Campus Health
2020-09-03,Employee,PCR,Positive,0,Campus Health
2020-09-03,Employee,Antigen,Negative,112,Test All Test Smart
2020-09-03,Employee,Antigen,Positive,0,Test All Test Smart
2020-09-03,Employee,PCR,Negative,12,Test All Test Smart
2020-09-03,Employee,PCR,Positive,0,Test All Test Smart
2020-09-03,Off-Campus Student,Antigen,Negative,23,Campus Health
2020-09-03,Off-Campus Student,Antigen,Positive,16,Campus Health
2020-09-03,Off-Campus Student,PCR,Inconclusive,3,Campus Health
2020-09-03,Off-Campus Student,PCR,Negative,20,Campus Health
2020-09-03,Off-Campus Student,PCR,Positive,7,Campus Health
2020-09-03,Off-Campus Student,Antigen,Negative,566,Test All Test Smart
2020-09-03,Off-Campus Student,Antigen,Positive,45,Test All Test Smart
2020-09-03,Off-Campus Student,PCR,Negative,20,Test All Test Smart
2020-09-03,Off-Campus Student,PCR,Positive,0,Test All Test Smart
2020-09-03,On-Campus Student,Antigen,Negative,8,Campus Health
2020-09-03,On-Campus Student,Antigen,Positive,4,Campus Health
2020-09-03,On-Campus Student,PCR,Negative,1,Campus Health
2020-09-03,On-Campus Student,PCR,Positive,4,Campus Health
2020-09-03,On-Campus Student,Antigen,Negative,486,Test All Test Smart
2020-09-03,On-Campus Student,Antigen,Positive,8,Test All Test Smart
2020-09-04,Employee,Antigen,Negative,6,Campus Health
2020-09-04,Employee,Antigen,Positive,0,Campus Health
2020-09-04,Employee,PCR,Negative,1,Campus Health
2020-09-04,Employee,PCR,Positive,0,Campus Health
2020-09-04,Employee,Antigen,Negative,119,Test All Test Smart
2020-09-04,Employee,Antigen,Positive,0,Test All Test Smart
2020-09-04,Employee,PCR,Negative,9,Test All Test Smart
2020-09-04,Employee,PCR,Positive,0,Test All Test Smart
2020-09-04,Off-Campus Student,Antigen,Negative,26,Campus Health
2020-09-04,Off-Campus Student,Antigen,Positive,18,Campus Health
2020-09-04,Off-Campus Student,PCR,Negative,38,Campus Health
2020-09-04,Off-Campus Student,PCR,Positive,9,Campus Health
2020-09-04,Off-Campus Student,Antigen,Negative,511,Test All Test Smart
2020-09-04,Off-Campus Student,Antigen,Positive,28,Test All Test Smart
2020-09-04,Off-Campus Student,PCR,Negative,6,Test All Test Smart
2020-09-04,Off-Campus Student,PCR,Positive,0,Test All Test Smart
2020-09-04,On-Campus Student,Antigen,Negative,6,Campus Health
2020-09-04,On-Campus Student,Antigen,Positive,3,Campus Health
2020-09-04,On-Campus Student,PCR,Negative,5,Campus Health
2020-09-04,On-Campus Student,PCR,Positive,3,Campus Health
2020-09-04,On-Campus Student,Antigen,Negative,635,Test All Test Smart
2020-09-04,On-Campus Student,Antigen,Positive,19,Test All Test Smart
2020-09-04,On-Campus Student,PCR,Negative,1,Test All Test Smart
2020-09-04,On-Campus Student,PCR,Positive,0,Test All Test Smart
2020-09-08,Employee,Antigen,Negative,5,Campus Health
2020-09-08,Employee,Antigen,Positive,0,Campus Health
